-10.027746, -67.7956843
-9.6697488, -35.7514806
-3.118104, -60.0059825
-3.0861321, -59.9847284
-12.9951065, -38.4512463
-12.26667, -38.96667
-3.7390317, -38.4756743
-7.2152967, -39.3189897
-15.77972, -47.92972
-20.3135358, -40.3098847
-16.6561478, -49.2477383
-2.5261763, -44.2974945
-19.9252519, -43.9292588
-18.91861, -48.27722
-20.4627053, -54.6079755
-1.45583, -48.50444
-7.1186868, -34.8590285
-8.0552379, -34.8979077
-9.3963191, -40.4994652
-5.0864899, -42.8054234
-23.3133346, -51.16288
-23.4134849, -51.9365491
-22.9096062, -43.1906121
-22.540978, -44.1734891
-5.8128536, -35.1955415
-8.7262527, -63.892856
2.8420733, -60.6706348
-30.0301805, -51.2225872
-27.5860822, -48.547846
-23.5570678, -46.668846
-20.8249087, -49.3939573
-20.8249087, -49.3939573
-10.9168632, -37.086699
-10.16745, -48.32766
